Location,Latitude,Longitude
Puerto Penasco,31.309515,-113.543074
Guaymas,27.922137,-110.870648
San Diego,32.711321,-117.171509
Long Beach,33.751246,-118.234355
Oakland,37.803353,-122.318235
Portland,45.557104,-122.726134
Seattle,47.588921,-122.342462
Houston,29.363067,-94.900385
Port Isabel,26.022467,-97.253960
Tampico,22.264637,-97.800313
Coatzacoalcos,18.127198,-94.405310
Puerto Vallarta,20.654214,-105.244261
Mazatlan,23.187036,-106.420574
Astoria,46.180239,-123.847176
Eureka,40.790285,-124.180877
Duluth,46.751094,-92.095847
Green Bay,44.529816,-88.009527
Chicago,41.860205,-87.639009
Lazaro Cardenas,17.957898,-102.171567
Corpus Christi,27.813104,-97.415269
Bacorehuis,26.272813,-109.113289
Newark,40.6840,-74.1730
Norfolk,36.8498,-76.2859
Charleston,32.7765,-79.9311
Savannah,32.0809,-81.0912
Jacksonville,30.3322,-81.6557
Miami,25.7617,-80.1918
Tampa,27.9506,-82.4572
Mobile,30.6954,-88.0399
New Orleans,29.9511,-90.0715
Veracruz,19.1738,-96.1342
Manzanillo,19.0514,-104.3160
Puerto Barrios,15.7171,-88.5967
Puerto Cortés,15.8500,-87.9490
Colón,9.3593,-79.9014
Balboa,8.9526,-79.5590
Corinto,12.4813,-87.1730
Acajutla,13.5903,-89.8270
San Isidro (Potential Site),16.908533,-99.970739
Corozal (Potential Site),18.378101,-88.388818
Juchitan Terminal (Potential),16.417440,-94.921740
San Blas (Potential),21.534064,-105.278648
Sacramento,38.562585,-121.549182
Ojo de Liebre (Potential),27.718131,-114.078341
La Paz,24.145142,-110.339348
Molina Viejo (Potential),30.478618,-115.960790
Tiburon (Potential),29.105743,-112.171116
Naval Station Cayo Cahum,21.558807,-87.012473
El Real,8.118554,-77.758792
Turbo,8.076641,-76.731381
Guayaquil,-2.236874,-79.829930
Asunción,-25.2637,-57.5759
Rosario,-32.9468,-60.6393
Santa Fe,-31.6333,-60.7000
Manaus,-3.1190,-60.0217
Barranqueras,-27.4817,-58.9397
Iquitos,-3.7437,-73.2516
Leticia,-4.2150,-69.9406
Santos,-23.9535,-46.3349
Buenos Aires,-34.6037,-58.3816
Callao,-12.0570,-77.1181
Valparaíso,-33.0472,-71.6127
Montevideo,-34.9011,-56.1645
Cartagena,10.3910,-75.4794
Paranaguá,-25.5163,-48.5225
Rio Grande,-32.0341,-52.1070
San Antonio,-33.5930,-71.6210
Rio de Janeiro,-22.877026,-43.208546
